DATE,e_calcium,e_calories,e_carbs,e_cholesterol,e_fiber,e_protein,e_sat_fat,e_sodium,e_sugar,e_unsat_fat,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_deep,n_duration,n_light,n_quality,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_deep,s_duration,s_light,s_quality
20130705,,,,,,,,,,,8438.0,602.893000446,13432.0,15540.0,2923.0,1560.0,16469.0,0.0,0.0,,,,,,,,,,,,1348.0,1312.0,237.0,0.0,1327.0,2101.0,19796.0,17695.0,50.0
20130706,,,,,,,,,,,7910.0,628.695996784,13163.0,32400.0,1897.0,32400.0,15890.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
20130707,,,,,,,,,,,2703.0,197.862000532,4298.0,27600.0,505.0,4380.0,5248.0,0.0,0.0,,,,,,,,,,,,61.0,1777.0,415.0,0.0,50.0,6780.0,21180.0,14400.0,62.0
20130708,,,,,,,,,,,5569.0,406.948000349,8854.0,18300.0,547.0,3060.0,10801.0,0.0,0.0,,,,,,,,,,,,301.0,3701.0,530.0,2.0,285.0,4500.0,11004.0,6504.0,30.0
20130709,,,,,,,,,,,3641.0,258.802001148,5787.0,26220.0,533.0,7800.0,7084.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
20130710,,,,,,,,,,,6592.0,647.080001444,12482.0,22860.0,2566.0,8640.0,13616.0,0.0,0.0,,,,,,,,,,,,65.0,4943.0,504.0,1.0,59.0,2580.0,24240.0,21660.0,58.0
20130711,,,,,,,,,,,4913.0,342.029000498,7551.0,24180.0,831.0,3540.0,9334.0,0.0,0.0,,,,,,,,,,,,91.0,4485.0,470.0,1.0,65.0,4860.0,21452.0,16592.0,58.0
20130712,,,,,,,,,,,6558.0,723.088999867,13465.0,26640.0,1603.0,4500.0,13961.0,0.0,0.0,,,,,,,,,,,,345.0,2916.0,534.0,0.0,319.0,960.0,11280.0,10320.0,23.0
20130713,,,,,,,,,,,4255.0,299.367000051,6637.0,22980.0,1117.0,3060.0,8211.0,0.0,0.0,,,,,,,,,,,,18.0,2103.0,491.0,1.0,6.0,7621.0,27080.0,19459.0,77.0
20130714,,,,,,,,,,,6584.0,674.949000396,12918.0,23940.0,1486.0,8400.0,13745.0,0.0,0.0,,,,,,,,,,,,58.0,1660.0,462.0,1.0,47.0,7381.0,23460.0,16079.0,68.0
20130715,,,,,,,,,,,3954.0,288.852999784,6340.0,27660.0,1023.0,4560.0,7758.0,0.0,0.0,,,,,,,,,,,,1415.0,6221.0,429.0,3.0,1389.0,10140.0,22920.0,12780.0,74.0
20130716,,,,,,,,,,,5995.0,472.458999433,10014.0,27840.0,1275.0,7260.0,12050.0,0.0,0.0,,,,,,,,,,,,1437.0,2312.0,391.0,0.0,1401.0,6540.0,23580.0,17040.0,69.0
